moment	social
My sister and her family came in to town for a visit.	yes
My girlfriend gave me news that she found an apartment to live in for school.	yes
I got a good grade on a test.	no
I called my girlfriend and talked for 30 minutes.	yes
I went to Bahubali movie for first day first show, I have been waiting for this movie for past 2 years.	no
My dad presented me a new smart phone surprisingly on my birthday I was so excited , i cant forget that day in my life, that was my first surprise given by my dad	yes
The executives of the company I work for visited our site to compliment me and my team for our excellent performance.	yes
I got to surprise my fiance's friends (he died 2 years ago) at their wedding to see them and all his friends.	yes
My 9 month old daughter got her first and second tooth without any fussiness or fever.	yes
I had an incredible work day yesterday, making me happy.	no
My mom was in a really good mood despite the stresses that happened.	yes
I sent an updated W-4 to my employer updating my tax withholdings to have the government withhold LESS of my taxes each month!	yes
I went to my favorite cafe and got a sandwich and my favorite coffee.	yes
After celebrated alagar festival we went to thamukam ground to saw the exhibition with childrens then we went to shops on that ground and buy the cosmetic's items.	yes
An event that made me happy was when I won twenty dollars on a scratch off ticket that I only spent two dollars on.	no
I was really stressed out and instead of taking it out on my family I announced that I was going to go to the store to buy everyone ice cream.	yes
a friend came over and helped me fix something that has been giving me trouble.	yes
Today a coworker complimented me on my hair, she said it was beautiful and looked very healthy.	yes
I worked out first thing this morning.	no
the dodgers won on opening day by a lot.	yes
I won the best mother certificate in my child school	yes
After spending an hour on the first computer issue, I successfully completed another computer task after another hour's worth of work.	no
I along with my friends and family went out for dinner to our favourite restaurant.	yes
Beating a hard level in a video game.	no
Received good news related to one of my clients.	yes
I listened to my favorite podcast on the way to work.	no
I bought a new remote control car and crashed it a bunch, and it was really funny.	no
I fixed my car.	no
I made a really good dinner.	no
I went to dinner with my step son and two kids.	yes
I finished season 4 of yu-gi-oh, which I've been watching for a long time.	no
I'm starting to feel like I have authority in my position at work.	no
I put in an application to adopt a dog from my local shelter.	no
I came into to work to find out im off for the next week.	no
I won my first match of nan BATTLEGROUNDS, where 50 teams compete against each other.	yes
When i finally got my cell phone fixed.	no
My ex and I started talking again	yes
the festival night at home	no
The most recent major event that makes me happy is the day I found out I was expecting twins.	yes
Watched Kong: Skull Island in the movie theater.	no
The weather is nice enough to wear shorts again.	no
Received back my exam from my linear algebra class, and received a good score, 92%.	no
I work-shopped an essay and everyone enjoyed it.	yes
In the last 24 hours receiving my raise at work made me very happy	no
When we returned from the beach,we went to a restaurant for having the dinner.	yes
A coworker has to switch shifts with me and I got.to sleep in.	yes
my son and my husband helped me in house hold work today.they made me to sit and they did all the work.they gifted this day to me.i really felt very happy for the concern they have towards me.i am thankful to god for giving such a beautiful family.	yes
My crush text me from his vacation and sent me a picture.	yes
Our family went for a short vacation and we enjoyed a lot, had memorable moments together.	yes
I was so happy today because my coworker paid for my chair massage.	yes
I ate a nice, big and delicious lunch that I made this morning.	no
Sleeping next to my wife at night, giving her a hug.	yes
I received my new speakers in the mail today to attach to my monitor for greater sound quality.	no
I had dinner with a good friend from high school tonight.	yes
I received payment for a $40 survey that I completed.	no
Went on a vineyard tour and wine tasting trip.	yes
Went for a drink with my coworkers.	yes
When I finally earned $10 on Mturk.	no
My cat rolled around on his back in the sunlight and it was ridiculously cute.	no
Getting my paycheck, and it had a nice bonus.	no
I finished all my work last night, so I would have the whole weekend free.	no
MY MEMORABLE DAY IS MY SCHOOL DAYS I ENJOY A LOT WITH MY  SCHOOL FRIEND GAND 10 CLASS	yes
When my family cooked and buying my favorite clothing for me.	yes
I went to the movies and had a good time with family.	yes
I recently watched my girlfriend preform in the musical Wild Party as the lead role Queenie; she was so great in her role and I was so proud of her I even cried of happiness.	yes
I was happy it rained on my veggie garden.	no
I passed my presentation in class with flying colours, and was well praised by my instructor.	yes
I WENT TO TEMPLE	no
farewell party to enjoy my friends.	yes
My mother and sister flew across the country to visit me for a week	yes
I had a very successful meeting with some coworkers and it made me feel very happy.	yes
I was told that the school I teach it will be closed all week, but teachers will still be paid.	no
Anniversary Celebration of my Parents last Saturday April 29	yes
I bought a puppy.	no
My best friend put her name down to volunteer at a pancake breakfast with me in May.	yes
